round,treatment,interval,controller,scenario,closed_trades,signals_before_cooldowns,blocked_daily_loss_decisions,blocked_cooldown_decisions,active_days,total_return_fraction,maximum_drawdown_fraction,profit_factor,win_rate,mean_trade_initial_capital_bps,mean_hourly_initial_capital_bps,annualized_sharpe,annualized_sortino,gross_round_trip_turnover_fraction,maximum_position_fraction,maximum_holding_minutes,stop_loss_trades,timeout_trades,symbol_return_fraction,maximum_single_symbol_fraction_of_absolute_net_pnl,symbols_with_trades,fixed_initial_capital,profit_reinvestment,leverage,stop_loss_fraction
55,baseline_71,policy_development,all_view_consensus,stress,27,27,0,0,15,0.0024474022682178863,0.0018057485035687638,1.732756060459226,0.7037037037037037,0.906445284525143,0.016458656813839182,2.174489130517032,0.23196892075146333,2.406904430149106,0.0758038602875263,60.0,2,25,"{'BTCUSDT': 0.0010345133372277543, 'ETHUSDT': 4.1760647060778825e-05, 'SOLUSDT': 0.001371128283929353}",0.5602382173682308,3,True,False,1.0,0.07407407407407407
55,baseline_71,policy_development,majority_view_consensus,stress,61,65,0,2,26,-0.000533461707669975,0.0041488451591097505,0.9580325649504414,0.5081967213114754,-0.08745273896229094,-0.0035875030778074984,-0.25751061177879864,-0.03943417773050105,5.535676876496148,0.12289294600378059,60.0,11,50,"{'BTCUSDT': -0.0039949892803315245, 'ETHUSDT': 0.0015163335772101038, 'SOLUSDT': 0.001945193995451446}",0.5357715082113601,3,True,False,1.0,0.18032786885245902
55,baseline_71,policy_development,pooled_nine_consensus,stress,43,46,0,1,22,-0.0020944843401334155,0.0035750779583747904,0.7758777397114882,0.5348837209302325,-0.4870893814263757,-0.014085301547635614,-1.2301627435490372,-0.1417673331378649,3.981194293056964,0.07668832263016981,60.0,7,36,"{'BTCUSDT': -0.002245718907224736, 'ETHUSDT': 0.000505968018473938, 'SOLUSDT': -0.00035473345138261757}",0.722928205014787,3,True,False,1.0,0.16279069767441862
55,baseline_71,development_holdout,all_view_consensus,stress,7,7,0,0,5,0.0009004136171091279,0.00164475773495353,1.5471951908210402,0.5714285714285714,1.286305167298754,0.012523137929195103,1.2757087879676599,0.07123040842112605,0.7357843220396529,0.0830681629566263,60.0,3,4,"{'BTCUSDT': -0.0002603701409013992, 'ETHUSDT': -4.1305214067998596e-05, 'SOLUSDT': 0.0012020889720785258}",0.7993865464533102,3,True,False,1.0,0.42857142857142855
55,baseline_71,development_holdout,majority_view_consensus,stress,21,21,0,0,12,-0.0013830304549276686,0.002181162669358217,0.634962899085544,0.3333333333333333,-0.6585859309179374,-0.019235472252123346,-2.5840393085486824,-0.2709940883174134,2.3780025630664485,0.10687486158746524,60.0,4,17,"{'BTCUSDT': -0.0005423686846981717, 'ETHUSDT': -0.0015417180117228153, 'SOLUSDT': 0.0007010562414933184}",0.5535507678027302,3,True,False,1.0,0.19047619047619047
55,baseline_71,development_holdout,pooled_nine_consensus,stress,18,18,0,0,11,-0.0011342922925706984,0.002144462483669044,0.679578562492064,0.3888888888888889,-0.6301623847614988,-0.015775970689439478,-2.1336468694788335,-0.18930392392109555,2.0324836402195694,0.10687486158746524,60.0,4,14,"{'BTCUSDT': -0.0005196937545314988, 'ETHUSDT': -0.0013523653180270803, 'SOLUSDT': 0.0007377667799878806}",0.5181822061834318,3,True,False,1.0,0.2222222222222222
55,ai_program_augmented,policy_development,all_view_consensus,stress,14,14,0,0,7,0.00365869080807748,0.0002531335114627438,11.514558169572547,0.8571428571428571,2.6133505771982,0.024604511150487424,4.9354435321635455,0.9067153892779097,1.1570835598381568,0.07656206245597909,60.0,0,14,"{'BTCUSDT': 0.0013497443478018276, 'ETHUSDT': 0.002041088667009178, 'SOLUSDT': 0.0002678577932664748}",0.5578740522437592,3,True,False,1.0,0.0
55,ai_program_augmented,policy_development,majority_view_consensus,stress,37,39,0,1,18,-0.00037850216298610537,0.0019888334005195686,0.9528574216217384,0.5135135135135135,-0.10229788188813656,-0.002545407955521892,-0.23163095615967352,-0.029479779757778504,3.4809702175972315,0.07668832263016981,60.0,5,32,"{'BTCUSDT': -0.001532828987788846, 'ETHUSDT': 0.0025204842038986323, 'SOLUSDT': -0.0013661573790958914}",0.4650794152267725,3,True,False,1.0,0.13513513513513514
55,ai_program_augmented,policy_development,pooled_nine_consensus,stress,26,28,0,1,14,0.0020556797291675986,0.0018195219006444565,1.4836142704369417,0.6538461538461539,0.7906460496798455,0.013824342496083379,1.5472457082145799,0.1761939892126921,2.320455189998305,0.07668832263016981,60.0,3,23,"{'BTCUSDT': -0.00035122860497057687, 'ETHUSDT': 0.002438003743367915, 'SOLUSDT': -3.109540922973937e-05}",0.8644398640638963,3,True,False,1.0,0.11538461538461539
55,ai_program_augmented,development_holdout,all_view_consensus,stress,5,5,0,0,3,0.0005590648112235152,0.00164475773495353,1.3397522763382461,0.4,1.1181296224470303,0.007775588473206052,0.7978663355330821,0.04422680208367433,0.44943548911709186,0.08155313830440876,60.0,3,2,"{'BTCUSDT': -0.0005534300633583157, 'ETHUSDT': -8.959409749669482e-05, 'SOLUSDT': 0.0012020889720785258}",0.6514987892191361,3,True,False,1.0,0.6
55,ai_program_augmented,development_holdout,majority_view_consensus,stress,13,13,0,0,9,0.0009912007882613013,0.0017646947564619335,1.5353976920390993,0.46153846153846156,0.7624621448163854,0.013785824593342159,1.3915328498587987,0.15641881363939783,1.3212574221442988,0.08155313830440876,60.0,3,10,"{'BTCUSDT': -0.0003972659558315305, 'ETHUSDT': -0.0003496844668322897, 'SOLUSDT': 0.0017381512109251216}",0.6994286219251777,3,True,False,1.0,0.23076923076923078
55,ai_program_augmented,development_holdout,pooled_nine_consensus,stress,8,8,0,0,5,0.0011002150221894758,0.00164475773495353,1.6686175748252599,0.625,1.3752687777368449,0.015302016998462807,1.535985353231365,0.08703640626096454,0.7257782282806532,0.08155313830440876,60.0,3,5,"{'BTCUSDT': -0.0003376132575796495, 'ETHUSDT': -8.959409749669482e-05, 'SOLUSDT': 0.0015274223772658204}",0.7814382192148297,3,True,False,1.0,0.375
