round,treatment,interval,symbol,long_view_votes,short_view_votes,rows,interval_rows,fraction
55,baseline_71,policy_development,BTCUSDT,0,0,1431,1487,0.9623402824478816
55,baseline_71,policy_development,BTCUSDT,0,1,2,1487,0.0013449899125756557
55,baseline_71,policy_development,BTCUSDT,0,2,1,1487,0.0006724949562878278
55,baseline_71,policy_development,BTCUSDT,1,0,33,1487,0.02219233355749832
55,baseline_71,policy_development,BTCUSDT,2,0,13,1487,0.008742434431741762
55,baseline_71,policy_development,BTCUSDT,3,0,7,1487,0.004707464694014795
55,baseline_71,policy_development,ETHUSDT,0,0,1422,1487,0.9562878278412912
55,baseline_71,policy_development,ETHUSDT,0,1,6,1487,0.004034969737726967
55,baseline_71,policy_development,ETHUSDT,0,3,1,1487,0.0006724949562878278
55,baseline_71,policy_development,ETHUSDT,1,0,34,1487,0.022864828513786146
55,baseline_71,policy_development,ETHUSDT,2,0,12,1487,0.008069939475453935
55,baseline_71,policy_development,ETHUSDT,3,0,12,1487,0.008069939475453935
55,baseline_71,policy_development,SOLUSDT,0,0,1407,1487,0.9462004034969738
55,baseline_71,policy_development,SOLUSDT,0,1,10,1487,0.006724949562878279
55,baseline_71,policy_development,SOLUSDT,0,2,3,1487,0.0020174848688634837
55,baseline_71,policy_development,SOLUSDT,1,0,46,1487,0.03093476798924008
55,baseline_71,policy_development,SOLUSDT,2,0,10,1487,0.006724949562878279
55,baseline_71,policy_development,SOLUSDT,3,0,11,1487,0.007397444519166106
55,baseline_71,development_holdout,BTCUSDT,0,0,704,719,0.9791376912378303
55,baseline_71,development_holdout,BTCUSDT,0,1,1,719,0.0013908205841446453
55,baseline_71,development_holdout,BTCUSDT,0,3,1,719,0.0013908205841446453
55,baseline_71,development_holdout,BTCUSDT,1,0,7,719,0.009735744089012517
55,baseline_71,development_holdout,BTCUSDT,2,0,5,719,0.006954102920723227
55,baseline_71,development_holdout,BTCUSDT,3,0,1,719,0.0013908205841446453
55,baseline_71,development_holdout,ETHUSDT,0,0,695,719,0.9666203059805285
55,baseline_71,development_holdout,ETHUSDT,0,1,3,719,0.004172461752433936
55,baseline_71,development_holdout,ETHUSDT,0,2,1,719,0.0013908205841446453
55,baseline_71,development_holdout,ETHUSDT,1,0,11,719,0.015299026425591099
55,baseline_71,development_holdout,ETHUSDT,2,0,6,719,0.008344923504867872
55,baseline_71,development_holdout,ETHUSDT,3,0,3,719,0.004172461752433936
55,baseline_71,development_holdout,SOLUSDT,0,0,695,719,0.9666203059805285
55,baseline_71,development_holdout,SOLUSDT,0,1,5,719,0.006954102920723227
55,baseline_71,development_holdout,SOLUSDT,0,2,1,719,0.0013908205841446453
55,baseline_71,development_holdout,SOLUSDT,1,0,15,719,0.02086230876216968
55,baseline_71,development_holdout,SOLUSDT,2,0,1,719,0.0013908205841446453
55,baseline_71,development_holdout,SOLUSDT,3,0,2,719,0.0027816411682892906
55,ai_program_augmented,policy_development,BTCUSDT,0,0,1448,1487,0.9737726967047747
55,ai_program_augmented,policy_development,BTCUSDT,0,1,3,1487,0.0020174848688634837
55,ai_program_augmented,policy_development,BTCUSDT,1,0,24,1487,0.01613987895090787
55,ai_program_augmented,policy_development,BTCUSDT,2,0,7,1487,0.004707464694014795
55,ai_program_augmented,policy_development,BTCUSDT,3,0,5,1487,0.0033624747814391394
55,ai_program_augmented,policy_development,ETHUSDT,0,0,1446,1487,0.972427706792199
55,ai_program_augmented,policy_development,ETHUSDT,0,1,2,1487,0.0013449899125756557
55,ai_program_augmented,policy_development,ETHUSDT,0,2,1,1487,0.0006724949562878278
55,ai_program_augmented,policy_development,ETHUSDT,0,3,1,1487,0.0006724949562878278
55,ai_program_augmented,policy_development,ETHUSDT,1,0,21,1487,0.014122394082044385
55,ai_program_augmented,policy_development,ETHUSDT,2,0,10,1487,0.006724949562878279
55,ai_program_augmented,policy_development,ETHUSDT,3,0,6,1487,0.004034969737726967
55,ai_program_augmented,policy_development,SOLUSDT,0,0,1436,1487,0.9657027572293208
55,ai_program_augmented,policy_development,SOLUSDT,0,1,8,1487,0.005379959650302623
55,ai_program_augmented,policy_development,SOLUSDT,1,0,32,1487,0.02151983860121049
55,ai_program_augmented,policy_development,SOLUSDT,2,0,7,1487,0.004707464694014795
55,ai_program_augmented,policy_development,SOLUSDT,3,0,4,1487,0.0026899798251513113
55,ai_program_augmented,development_holdout,BTCUSDT,0,0,707,719,0.9833101529902643
55,ai_program_augmented,development_holdout,BTCUSDT,0,1,2,719,0.0027816411682892906
55,ai_program_augmented,development_holdout,BTCUSDT,1,0,6,719,0.008344923504867872
55,ai_program_augmented,development_holdout,BTCUSDT,2,0,3,719,0.004172461752433936
55,ai_program_augmented,development_holdout,BTCUSDT,3,0,1,719,0.0013908205841446453
55,ai_program_augmented,development_holdout,ETHUSDT,0,0,702,719,0.9763560500695411
55,ai_program_augmented,development_holdout,ETHUSDT,0,1,3,719,0.004172461752433936
55,ai_program_augmented,development_holdout,ETHUSDT,1,0,9,719,0.012517385257301807
55,ai_program_augmented,development_holdout,ETHUSDT,2,0,3,719,0.004172461752433936
55,ai_program_augmented,development_holdout,ETHUSDT,3,0,2,719,0.0027816411682892906
55,ai_program_augmented,development_holdout,SOLUSDT,0,0,702,719,0.9763560500695411
55,ai_program_augmented,development_holdout,SOLUSDT,0,1,4,719,0.005563282336578581
55,ai_program_augmented,development_holdout,SOLUSDT,0,2,1,719,0.0013908205841446453
55,ai_program_augmented,development_holdout,SOLUSDT,1,0,9,719,0.012517385257301807
55,ai_program_augmented,development_holdout,SOLUSDT,2,0,1,719,0.0013908205841446453
55,ai_program_augmented,development_holdout,SOLUSDT,3,0,2,719,0.0027816411682892906
